Plant,PlantURL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Category
Sorrel Seeds,https://www.theseedcollection.com.au/all-products?gn=Sorrel Seeds&gg=2319,0,0,1,1,1,0,0,0,1,1,1,0,vegetable;herb
Soybean Seeds,https://www.theseedcollection.com.au/all-products?gn=Soybean Seeds&gg=2486,0,0,0,0,0,0,0,0,0,0,1,1,vegetable
Spinach Seeds,https://www.theseedcollection.com.au/all-products?gn=Spinach Seeds&gg=2320,0,1,1,1,1,1,1,1,1,1,1,0,vegetable
Sprouting Seeds,https://www.theseedcollection.com.au/all-products?gn=Sprouting Seeds&gg=2654,1,1,1,1,1,1,1,1,1,1,1,1,vegetable
Strawberry Runners,https://www.theseedcollection.com.au/all-products?gn=Strawberry Runners&gg=2638,0,0,0,1,1,1,1,0,0,0,0,0,vegetable
Strawberry Seeds,https://www.theseedcollection.com.au/all-products?gn=Strawberry Seeds&gg=2323,0,0,1,1,0,0,0,0,1,1,1,0,vegetable
Strawberry Spinach Seeds,https://www.theseedcollection.com.au/all-products?gn=Strawberry Spinach Seeds&gg=2498,0,0,0,0,0,0,0,0,1,1,1,0,vegetable
Sugar Beet Seeds,https://www.theseedcollection.com.au/all-products?gn=Sugar Beet Seeds&gg=2480,1,1,1,1,0,0,0,0,1,1,1,1,vegetable
Summer Squash Seeds,https://www.theseedcollection.com.au/all-products?gn=Summer Squash Seeds&gg=2324,0,0,0,0,0,0,0,0,1,1,1,1,vegetable
Swede Seeds,https://www.theseedcollection.com.au/all-products?gn=Swede Seeds&gg=2326,1,1,1,1,0,0,0,0,1,1,1,0,vegetable
Sweet Potato Tubers,https://www.theseedcollection.com.au/all-products?gn=Sweet Potato Tubers&gg=2346,0,0,0,0,0,0,0,0,0,1,1,0,vegetable
Tamarillo Seeds,https://www.theseedcollection.com.au/all-products?gn=Tamarillo Seeds&gg=2499,0,0,0,0,0,0,0,0,1,1,1,1,vegetable
Tomatillo Seeds,https://www.theseedcollection.com.au/all-products?gn=Tomatillo Seeds&gg=2330,0,0,0,0,0,0,0,0,1,1,1,1,vegetable
Tomato Seeds,https://www.theseedcollection.com.au/all-products?gn=Tomato Seeds&gg=2331,0,0,0,0,0,0,0,0,1,1,1,1,vegetable
Turnip Seeds,https://www.theseedcollection.com.au/all-products?gn=Turnip Seeds&gg=2332,1,1,1,1,1,0,0,0,1,1,1,1,vegetable
Warrigal Greens Seeds,https://www.theseedcollection.com.au/all-products?gn=Warrigal Greens Seeds&gg=2343,1,1,0,0,0,0,0,0,1,1,1,1,vegetable
Water Cress Seeds,https://www.theseedcollection.com.au/all-products?gn=Water Cress Seeds&gg=2479,1,1,1,1,0,0,0,0,1,1,1,1,vegetable;herb
Watermelon Seeds,https://www.theseedcollection.com.au/all-products?gn=Watermelon Seeds&gg=2335,0,0,0,0,0,0,0,0,1,1,1,1,vegetable
Winged Bean Seeds,https://www.theseedcollection.com.au/all-products?gn=Winged Bean Seeds&gg=2488,0,0,0,0,0,0,0,0,0,0,1,1,vegetable
Winged Pea Seeds,https://www.theseedcollection.com.au/all-products?gn=Winged Pea Seeds&gg=2489,0,0,0,0,0,0,0,0,0,1,1,1,vegetable
Youngberry Canes,https://www.theseedcollection.com.au/all-products?gn=Youngberry Canes&gg=2999,0,0,0,0,0,1,1,1,0,0,0,0,vegetable
Zucchini Seeds,https://www.theseedcollection.com.au/all-products?gn=Zucchini Seeds&gg=2338,0,0,0,0,0,0,0,0,1,1,1,1,vegetable
Aloe Vera Plants,https://www.theseedcollection.com.au/all-products?gn=Aloe Vera Plants&gg=2845,1,1,1,1,1,1,1,1,1,1,1,1,herb
Anise Hyssop Seeds,https://www.theseedcollection.com.au/all-products?gn=Anise Hyssop Seeds&gg=2468,0,0,0,0,0,0,0,1,1,1,1,0,herb;flower
Basil Seeds,https://www.theseedcollection.com.au/all-products?gn=Basil Seeds&gg=2230,1,1,0,0,0,0,0,0,1,1,1,1,herb
Bergamot Seeds,https://www.theseedcollection.com.au/all-products?gn=Bergamot Seeds&gg=2389,1,1,1,0,0,0,0,0,0,1,1,1,herb;flower
Borage Seeds,https://www.theseedcollection.com.au/all-products?gn=Borage Seeds&gg=2390,1,0,0,0,0,0,0,0,1,1,1,1,herb
Calendula Seeds,https://www.theseedcollection.com.au/all-products?gn=Calendula Seeds&gg=2240,0,1,1,1,0,0,0,0,1,1,1,0,herb;flower
Caper Bush Seeds,https://www.theseedcollection.com.au/all-products?gn=Caper Bush Seeds&gg=2492,0,0,0,0,0,0,0,0,1,1,1,0,herb
Catmint (Short-stemmed) Seeds,https://www.theseedcollection.com.au/all-products?gn=Catmint (Short-stemmed) Seeds&gg=2628,0,0,1,1,0,0,0,0,1,1,1,0,herb
Catmint Seeds,https://www.theseedcollection.com.au/all-products?gn=Catmint Seeds&gg=2405,1,1,1,0,0,0,0,0,0,1,1,1,herb
