animal_taxon_name,Species,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of Records,Victoria : Conservation Status,EPBC Act Threatened Species,Weeds of National Significance (WoNS) as at Feb. 2013,VIC State Notifiable Pests,image_url,summary
Helicoverpa punctigera,https://biodiversity.org.au/afd/taxa/3c441d79-1941-4e86-a351-4c08afe5e12b,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Helicoverpa,Native Budworm,949,,,,Y,https://images.ala.org.au/image/proxyImage?imageId=48bc7aa5-6c45-44fa-99d4-eba49d8e1763,"Helicoverpa punctigera, the native budworm, Australian bollworm or Chloridea marmada, is a species of moth in the family Noctuidae. This species is native to Australia. H. punctigera are capable of long-distance migration from their inland Australian habitat towards coastal regions and are an occasional migrant to New Zealand."
Sitophilus oryzae,https://biodiversity.org.au/afd/taxa/c07f174e-571f-4abb-827b-321461d67eed,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Sitophilus,Rice Weevil,9,,,,,https://images.ala.org.au/image/proxyImage?imageId=b2928bb5-40ae-4571-848e-93ee8af5313e,"The rice weevil is a stored product pest which attacks seeds of several crops, including wheat, rice, and maize."
Metopolophium dirhodum,https://biodiversity.org.au/afd/taxa/41029592-55e4-40ee-9436-3122a66a8c40,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Metopolophium,Rose-grain Aphid,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=c016386b-2fa8-4415-8885-8c22f8c5ec05,"Metopolophium dirhodum, the rose-grain aphid or rose-grass aphid, is a species of sap-sucking insect in the family Aphididae found worldwide. Its primary host is rose, and its secondary host is a grass, including cereals such as wheat, barley, oats and rye. It is an important vector of the barley yellow dwarf virus (BYDV) which causes serious reductions in yields of affected crops."
Cervus elaphus,https://biodiversity.org.au/afd/taxa/70943adf-8589-40e9-8338-7ba862074b86,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Red Deer,445,,,,,https://images.ala.org.au/image/proxyImage?imageId=ea921a1e-a165-4d07-9f9c-79e01ee2869d,"The red deer is one of the largest deer species. A male red deer is called a stag or hart, and a female is called a doe or hind. The red deer inhabits most of Europe, the Caucasus Mountains region, Anatolia, Iran, and parts of Western Asia. It also inhabits the Atlas Mountains of Northern Africa, being the only living species of deer to inhabit Africa…"
Gallus gallus,https://biodiversity.org.au/afd/taxa/426f7c7a-fb95-49cc-989d-4fab897aa9d1,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Red Junglefowl,73,,,,,https://images.ala.org.au/image/proxyImage?imageId=bea62a45-3dca-4dae-adc5-ea7aae87f592,"The red junglefowl, also known as the Indian red junglefowl, is a species of tropical, predominantly terrestrial bird in the fowl and pheasant family, Phasianidae, found across much of Southeast and parts of South Asia…"
Meleagris gallopavo,https://biodiversity.org.au/afd/taxa/97f10571-1934-4dc5-a134-74986b8d6370,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Wild Turkey,4,,,,,https://images.ala.org.au/image/proxyImage?imageId=65091d94-9c1b-4794-b3cc-55c1fd7cfaa9,"The wild turkey is an upland game bird native to North America, one of two extant species of turkey and the heaviest member of the order Galliformes. It is the ancestor to the domestic turkey, which was originally derived from a southern Mexican subspecies of wild turkey."
Lepus capensis,https://biodiversity.org.au/afd/taxa/6240deca-2f4f-4bcd-a944-c49df0ae83b5,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Brown Hare,2393,,,,,https://images.ala.org.au/image/proxyImage?imageId=24af8dec-a270-4130-8ae7-2780ce74b478,"The Cape hare, also called the brown hare and the desert hare, is a hare native to Africa and Arabia extending into India."
Locusta migratoria,https://biodiversity.org.au/afd/taxa/cf98530f-b901-404f-ab6f-d9b4947cc729,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Locusta,Migratory Locust,5,,,,,https://images.ala.org.au/image/proxyImage?imageId=43405e33-3c25-439b-9a0a-adfc9c19a617,"The migratory locust is the most widespread locust species, and the only species in the genus Locusta. It occurs throughout Africa, Europe, Asia, Australia and New Zealand. Because of the vast geographic area it occupies, which comprises many different ecological zones, numerous subspecies have been described. However, not all experts agree on the validity of some of these subspecies…"
Pyralis farinalis,https://biodiversity.org.au/afd/taxa/5c9ab00e-2da3-49d9-9979-651b2bd4eba3,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Pyralis,Meal Moth,225,,,,,https://images.ala.org.au/image/proxyImage?imageId=81c94452-af7f-46e2-a7ea-952541724a7b,"Pyralis farinalis, the meal moth, is a cosmopolitan moth of the family Pyralidae. Its larvae (caterpillars) are pests of certain stored foods, namely milled plant products."
Achyra affinitalis,https://biodiversity.org.au/afd/taxa/2ba88fd9-4afa-444f-8165-f1ebb0fbf728,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Achyra,Grass Moth,1086,,,,,https://images.ala.org.au/image/proxyImage?imageId=ed0c98f6-afaf-47da-928a-f98b65dd0eda,"Achyra affinitalis, the cotton web spinner, is a moth of the family Crambidae. It was described by Julius Lederer in 1863 and is found in Australia and New Zealand."
Aiolopus thalassinus,https://biodiversity.org.au/afd/taxa/acbc8672-cd73-4581-acdc-584577441673,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Aiolopus,,20,,,,,https://images.ala.org.au/image/proxyImage?imageId=f417ef31-d89b-4012-9d86-7e90a674f39b,"Aiolopus thalassinus is a species of grasshopper belonging to the family Acrididae, subfamily Oedipodinae. It is present in many countries of Europe, and in the Afrotropical realm to Asia and the Pacific islands."
Sitophilus granarius,https://biodiversity.org.au/afd/taxa/7251bf42-7f69-4720-b668-017d8e53bdc1,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Sitophilus,Granary Weevil,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=07500484-19e4-4398-bee2-15db8b03e7f9,"The wheat weevil, also known as the grain weevil or granary weevil, is an insect that feeds on cereal grains, and is a common pest in many places. It can cause significant damage to harvested stored grains, and may drastically decrease crop yields. The females lay many eggs, and the larvae eat the inside of the grain kernels."
Aeolothrips fasciatus,https://biodiversity.org.au/afd/taxa/928949cf-36fe-4fc3-82c9-d42ecf6fe938,Animalia,Arthropoda,Insecta,Thysanoptera,Aeolothripidae,Aeolothrips,,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=38a7f02f-9032-462f-91db-81d520824ead,
Phasianus colchicus,https://biodiversity.org.au/afd/taxa/28cab4ee-ac0f-41c8-9b0d-64ce5ed64d27,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Common Pheasant,40,,,,,https://images.ala.org.au/image/proxyImage?imageId=ea659462-d3fe-495f-8801-ce9a9cbace53,"The common pheasant, ring-necked pheasant, or blue-headed pheasant, is a bird in the pheasant family (Phasianidae). The genus name comes from Latin phasianus 'pheasant'. The species name colchicus is Latin for 'of Colchis', a country on the Black Sea where pheasants became known to Europeans…"
Gryllodes sigillatus,ALA_DR22913_251,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllodes,Indian House Cricket,3,,,,,https://images.ala.org.au/image/proxyImage?imageId=16e4845a-743d-43e3-817d-728eba665a0f,"Gryllodes sigillatus, the tropical house cricket, Indian house cricket or banded cricket, is a small cricket probably native to southwestern Asia, but has spread throughout tropical regions worldwide. Like its relative the house cricket, the tropical house cricket is also raised commercially for feeding certain pets such as reptiles, birds, amphibians, and insectivorous arthropods."
Anseranas semipalmata,https://biodiversity.org.au/afd/taxa/8303d47d-200c-463a-aca0-a087260b00c1,Animalia,Chordata,Aves,Anseriformes,Anseranatidae,Anseranas,Magpie Goose,6132,Vulnerable,,,,https://images.ala.org.au/image/proxyImage?imageId=a0598ef0-b4cd-4b82-b335-02fe02a8d545,"The magpie goose is the sole living representative species of the family Anseranatidae. This common waterbird is found in northern Australia and southern New Guinea. As the species is prone to wandering, especially when not breeding, it is sometimes recorded outside its core range…"
Cairina moschata,ALA_DR24112_263,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cairina,Muscovy Duck,3464,,,,,https://images.ala.org.au/image/proxyImage?imageId=f4620cf4-6de3-4052-aea6-0b88ac8e43d1,"The Muscovy duck is a duck native to the Americas, from the Lower Rio Grande Valley of Texas and Mexico south to Argentina and Uruguay. The species has been domesticated, and feral Muscovy ducks can be found locally in New Zealand, Australia, the United States, and in Central and Eastern Europe."
Euplectrus bicolor,https://biodiversity.org.au/afd/taxa/d5c67259-306a-4e50-8389-4f82868a90ad,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Euplectrus,,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=010cbf46-72e7-4b6e-ab7d-7671789c4696,
Heteronychus arator,https://biodiversity.org.au/afd/taxa/657bba81-c458-4a19-a8eb-5baf09277788,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Heteronychus,African Black Beetle,537,,,,,https://images.ala.org.au/image/proxyImage?imageId=a3eb8d38-6478-4f35-bbeb-3fae9ab6a803,"Heteronychus arator is a species of beetle in the subfamily Dynastinae. It is commonly called African black beetle or black lawn beetle. It is native to Africa and it is an introduced species in Australia, Norfolk Island and the North Island of New Zealand."
Cuspicona simplex,https://biodiversity.org.au/afd/taxa/2eb53c4d-a293-4a33-a1ac-277a385a8bd4,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Cuspicona,Green Potato Bug,262,,,,,https://images.ala.org.au/image/proxyImage?imageId=37509d74-1474-4ac8-8c21-5dc251c43502,"Cuspicona simplex, commonly known as the green potato bug, is a herbivorous species of stink bug native to Australia and introduced to New Zealand. It feeds on nightshades. It is primarily known as a pest of potatoes, tomatoes, and other crops in the nightshade family."
Aulacophora hilaris,https://biodiversity.org.au/afd/taxa/2fefdfb5-1e17-4e1a-a4b6-06edda821774,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Aulacophora,Pumpkin Beetle,60,,,,,https://images.ala.org.au/image/proxyImage?imageId=e232e7fa-2a20-4289-985c-f78c7cf3f77a,"Aulacophora hilaris, also known as Pumpkin Beetle, Banded Pumpkin Beetle, Pumpkin Flea Beetle or Spotted Pumpkin Beetle, is a beetle in the genus Aulacophora that is found in Australia."
Limax maximus,https://biodiversity.org.au/afd/taxa/2ae13397-85e2-45cb-8a6c-6271e92964a4,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,Leopard Slug,1186,,,,,https://images.ala.org.au/image/proxyImage?imageId=453c4261-c166-4d10-8984-6d322dc82b90,"Limax maximus, known by the common names great grey slug and leopard slug, is a species of slug in the family Limacidae, the keeled slugs. It is among the largest keeled slugs, Limax cinereoniger being the largest."
Pachycolpura manca,https://biodiversity.org.au/afd/taxa/01bdc9df-773d-42d2-9c1e-c83f138663dd,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Pachycolpura,,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=562089d0-ede9-4137-86e7-161467972351,
Otiorhynchus rugosostriatus,https://biodiversity.org.au/afd/taxa/b586c27a-feb2-4d85-8bde-5d936ae537a6,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Rough Strawberry Weevil,7,,,,,https://images.ala.org.au/image/proxyImage?imageId=81c658c3-bf8d-4ea6-a04b-db4eefca77ca,"Otiorhynchus rugosostriatus, known generally as the rough strawberry root weevil or rough strawberry weevil, is a species of broad-nosed weevil in the beetle family Curculionidae. It is found in North America."
Synanthedon tipuliformis,https://biodiversity.org.au/afd/taxa/6b38da5a-63ea-464c-a291-0f12b72ccd8c,Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Currant Borer Moth,5,,,,,https://images.ala.org.au/image/proxyImage?imageId=bebf28cb-6f8b-4dcb-af81-d69fe2b8b23e,"Synanthedon tipuliformis, known as the currant clearwing, is a moth of the family Sesiidae. It is endemic to the Palearctic realm, but is an invasive species in the Nearctic realm and the Australasian realm."
Dindymus versicolor,https://biodiversity.org.au/afd/taxa/f362fd8c-3186-4c02-ac64-638f4d5f7a81,Animalia,Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,Dindymus,Harlequin Bug,2549,,,,,https://images.ala.org.au/image/proxyImage?imageId=299bea07-afc7-4952-903a-4e290e76221a,"Dindymus versicolor, commonly called the harlequin bug, is a species of cotton stainer bug, found in south-eastern Australia and Tasmania. An attractive insect, up to 12 mm long with a black head and bands on the fore-wing, and orange/red elsewhere. When the wings are folded, two red triangles appear. Legs are relatively long."
Tetranychus evansi,https://biodiversity.org.au/afd/taxa/d1f0b96c-7d32-405d-8d1a-d07110909369,Animalia,Arthropoda,Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Tomato Red Spider Mite,5,,,,,https://images.ala.org.au/image/proxyImage?imageId=08a02b17-3064-4c9b-bc72-6f703d1d2728,
Antigastra catalaunalis,https://biodiversity.org.au/afd/taxa/e130fae3-af3b-4cca-968c-a40e04243152,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Antigastra,,42,,,,,https://images.ala.org.au/image/proxyImage?imageId=d6226ec0-1d33-4f32-8c6e-4fc61a99e898,"Antigastra catalaunalis is a species of moth of the family Crambidae. The species was first described by Philogène Auguste Joseph Duponchel in 1833. It is endemic to tropical and subtropical areas, but is also found in other areas due to its migratory nature."
Acridotheres tristis,https://biodiversity.org.au/afd/taxa/56d25dd8-4282-4cd6-9bc7-baaa0b8adfc4,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Common Myna,260784,,,,,https://images.ala.org.au/image/proxyImage?imageId=4e0abf95-bf84-4716-95b6-87a1d1835261,"The common myna or Indian myna, sometimes spelled mynah, is a bird in the family Sturnidae, native to Asia. An omnivorous open woodland bird with a strong territorial instinct, the common myna has adapted extremely well to urban environments."
Corvus splendens,ALA_DR22913_2197,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,House Crow,7,,,,,https://images.ala.org.au/image/proxyImage?imageId=af6a5200-6a11-4fa5-8455-a97ea081f298,"The house crow, also known as the Indian, greynecked, Ceylon or Colombo crow, is a common bird of the crow family that is of Asian origin but now found in many parts of the world, where they arrived assisted by shipping. It is between the jackdaw and the carrion crow in size but is slimmer than either…"
Ceranisus menes,https://biodiversity.org.au/afd/taxa/fc5ce7c3-a63b-4a28-bbf1-94bd38cb4d00,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Ceranisus,,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=62036438-74f8-4ad8-a490-30e1de8961b1,
Vanessa itea,https://biodiversity.org.au/afd/taxa/80eebde0-e367-4214-a0f6-7bd6cc4e0824,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Australian Admiral,3646,,,,,https://images.ala.org.au/image/proxyImage?imageId=4d775c9a-efbd-4c5b-9316-c6efa10e5816,"The yellow admiral or Australian admiral is a butterfly native to Australia, New Zealand, Lord Howe Island, and Norfolk Islands. The Māori name is kahukōwhai, which means ""yellow cloak"". The yellow admiral is a member of the family Nymphalidae, the subfamily Nymphalinae and the tribe Nymphalini."
Lissopimpla excelsa,https://biodiversity.org.au/afd/taxa/0218a77b-77c4-4c3e-ac84-c1f2ddb26753,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Lissopimpla,Dusky Winged Ichneumonid (orchid Dupe Wasp),1020,,,,,https://images.ala.org.au/image/proxyImage?imageId=992ac9aa-8fd7-4284-9b47-3797e06ec6a0,"Lissopimpla excelsa, commonly known as the orchid dupe wasp, is a wasp of the family Ichneumonidae native to Australia. Although also found in New Zealand, where it is known as the dusky-winged ichneumonid, it has probably been introduced there. However, another source states that it may be native to New Zealand."
Trigonospila brevifacies,https://biodiversity.org.au/afd/taxa/5198d76c-0eac-4b95-9ab6-6c7955330714,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Trigonospila,Australian Leafroller Tachinid,50,,,,,https://images.ala.org.au/image/proxyImage?imageId=d628ff57-72a7-46e7-bc1f-6a07234739d6,"Trigonospila brevifacies is a species of true fly in the family Tachinidae native to eastern Australia. This species is also found in New Zealand. Like the vast majority of tachinid flies, T. brevifacies is a parasitoid of other insects, specifically late larval stages of a number of species of Lepidoptera. It is also known as the Australian Leaf-Roller Fly or Leafroller Fly."
Taylorilygus apicalis,https://biodiversity.org.au/afd/taxa/4e0362a8-d3d2-4c4b-b663-38de6d734dbd,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Taylorilygus,Brokenbacked Bug,108,,,,,https://images.ala.org.au/image/proxyImage?imageId=a7751ca5-a4c5-41a0-81ea-490f97e37722,Taylorilygus apicalis or broken-backed bug is a species of plant bug in the family Miridae.
Paregle audacula,https://biodiversity.org.au/afd/taxa/370134f2-f024-4d96-af43-ed2cda7a1f78,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Paregle,Fly,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=d31c30cd-7341-4846-b96a-a36b99c44178,
Aglossa caprealis,https://biodiversity.org.au/afd/taxa/e72c5f15-4c8c-4f8c-bafb-e6f91c8a261f,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Aglossa,,17,,,,,https://images.ala.org.au/image/proxyImage?imageId=ee6cb2dc-c0df-4f45-bd46-7fb46d253892,"Aglossa caprealis, the stored grain moth, is a moth species of the family Pyralidae. It is found globally, though its native range is presumably the western Palearctic or nearby regions, as in other Aglossa species."
Pelecanoides urinatrix,https://biodiversity.org.au/afd/taxa/3621f23e-c936-4621-a28e-a71dd21fcba7,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pelecanoides,Common Diving-petrel,144,,,,,https://images.ala.org.au/image/proxyImage?imageId=a46d41ad-323f-46ae-8916-7562f4015a11,"The common diving petrel , also known as the smaller diving petrel or simply the diving petrel, is a diving petrel, one of four very similar auk-like small petrels of the southern oceans. It is native to South Atlantic islands and islands of the subantarctic southern Indian Ocean, islands and islets off New Zealand and south-eastern Australian islands."
Armadillidium vulgare,https://biodiversity.org.au/afd/taxa/574e9a03-7382-4647-a3e0-acb8384bdbc8,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,,1737,,,,,https://images.ala.org.au/image/proxyImage?imageId=87d4c139-019d-4a57-90af-b902a1e3e365,"Armadillidium vulgare, the common pill-bug, common pill woodlouse, roly-poly, potato bug, slater, doodle bug, or carpenter, is a widespread European species of woodlouse. It is the most extensively investigated terrestrial isopod species. It is native to Mediterranean Europe, but as an introduced species they have become naturalized in almost all suitable ecosystems…"
Merophyas divulsana,https://biodiversity.org.au/afd/taxa/3cd5141f-e8b4-4e2c-883c-827281686803,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Merophyas,,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=1d368e65-e336-4a02-8c7c-f585d8a9fc89,"Merophyas divulsana, also known as the lucerne leaf roller, is a species of moth of the family Tortricidae. It is found throughout Australia and has also been spotted in New Zealand."
Milax gagates,https://biodiversity.org.au/afd/taxa/66950a6c-6f03-4cf5-bf33-01cee054408c,Animalia,Mollusca,Gastropoda,Stylommatophora,Milacidae,Milax,Jet Slug,172,,,,,https://images.ala.org.au/image/proxyImage?imageId=16e74736-b145-43cd-b2b0-de50a827f86f,"Milax gagates, known by the common name greenhouse slug, is a species of air-breathing, keeled, land slug, a shell-less terrestrial gastropod mollusc in the family Milacidae."
Crocidosema plebejana,https://biodiversity.org.au/afd/taxa/4e5b9a55-10cc-407e-8572-90a0bd20dfbd,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Crocidosema,Cotton Tipworm Moth,452,,,,,https://images.ala.org.au/image/proxyImage?imageId=0ca85e0c-c9cc-4f94-891e-4a53b256b55f,"Crocidosema plebejana, the cotton tipworm, is a tortrix moth, belonging to tribe Eucosmini of subfamily Olethreutinae. It is found today all over the subtropical and tropical regions of the world and even occurs on many oceanic islands – in Polynesia and Saint Helena for example – but has probably been accidentally introduced to much of its current range by humans…"
Amblypelta nitida,https://biodiversity.org.au/afd/taxa/fc0a37df-55c2-4d02-aefc-0081638113ee,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Amblypelta,Fruitspotting Bug,163,,,,,https://images.ala.org.au/image/proxyImage?imageId=839ede25-8e1a-4d03-9f11-2abd17d3471e,
Amblypelta lutescens,https://biodiversity.org.au/afd/taxa/15a5631f-f9e5-4acd-a718-0e4d24079da4,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Amblypelta,Fruit Spotting Bug - Adult,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=758615b2-9ff6-46a4-88ca-3a22ee71f584,
Zosterops lateralis,https://biodiversity.org.au/afd/taxa/fe0d4e5e-6bd5-4e46-a77c-00e8cec73410,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Silvereye,153629,,,,,https://images.ala.org.au/image/proxyImage?imageId=a446d70f-528e-4797-8274-72a571911977,"The silvereye or wax-eye, also known by its Māori name tauhou, is a very small omnivorous passerine bird of the south-west Pacific. In Australia and New Zealand its common name is sometimes white-eye, but this name is more commonly used to refer to all members of the genus Zosterops, or the entire family Zosteropidae."
Acraea andromacha,https://biodiversity.org.au/afd/taxa/d491c44f-f5a3-44c9-91dc-513db24b9cc3,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Acraea,Glasswing,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=1d160323-b2a4-4806-8d3b-1dcec0aa846f,"Acraea andromacha, the glasswing or small greasy, is a butterfly of the family Nymphalidae. It is found in Australia, New Guinea and surrounding islands."
Etiella grisea,https://biodiversity.org.au/afd/taxa/1ab2ab60-a74f-47eb-bed5-3808ce207b82,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Etiella,,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=e55139f3-4fab-4293-a526-1e379f40fab5,"Etiella grisea is a species of snout moth in the genus Etiella. It was described by George Hampson in 1903. It is found in Sri Lanka, the Chagos Archipelago, Tahiti, the Cook Islands, Samoa, Fiji, the New Hebrides, the Solomon Islands, Australia, the Tanimbar Islands, New Guinea and Guam."
Austroagallia torrida,https://biodiversity.org.au/afd/taxa/8e8d546d-19aa-4db9-bf31-05511f8b997a,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Austroagallia,Spotted Leafhopper,4,,,,,https://images.ala.org.au/image/proxyImage?imageId=24969a31-1f78-40fc-9bc9-01561723d1c7,
Symmetrischema tangolias,https://biodiversity.org.au/afd/taxa/38653076-35d7-4cf2-adbd-b78351f020ab,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Symmetrischema,Tomato Stemborer,51,,,,,https://images.ala.org.au/image/proxyImage?imageId=9887d01a-dd90-41b0-aef9-1bb43a507a98,"The South American potato tuber moth, Andean potato tuber moth or tomato stemborer is a moth of the family Gelechiidae. It is native to South America, but has become a pest worldwide. Records include North America, Australia and New Zealand."
Orosius orientalis,https://biodiversity.org.au/afd/taxa/78e0386d-0c87-4ce3-974f-e152cf721c24,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Orosius,Common Brown Leafhopper,15,,,,,https://images.ala.org.au/image/proxyImage?imageId=e2c80f43-fa62-4be7-9f1c-8630c4c95243,"The common brown leafhopper is one of the most common species of Australian leafhoppers with a very wide host range. It is an important vector of several viruses and phytoplasmas worldwide. In Australia, phytoplasmas vectored by O…"
Blaniulus guttulatus,https://biodiversity.org.au/afd/taxa/90b004c8-19d6-4d32-a525-d9d5dd455c21,Animalia,Arthropoda,Diplopoda,Julida,Blaniulidae,Blaniulus,,9,,,,,https://images.ala.org.au/image/proxyImage?imageId=62ec77a9-e814-4138-b8f3-b90ed68bd945,"Blaniulus guttulatus, commonly known as the spotted snake millipede is a species of millipede in the family Blaniulidae that can be found in Central and Western Europe. It has been introduced in North American countries such as the United States, Canada, Saint Helena, and Tristan da Cunha, as well as Tasmania and Norfolk Island, Australia."
Globodera rostochiensis,https://biodiversity.org.au/afd/taxa/98926022-d19a-4c16-8cfe-a9c8d6f730a3,Animalia,Nematoda,Chromadorea,Panagrolaimida,Heteroderidae,Globodera,Potato Cyst Nematodes,2,,,,Y,https://images.ala.org.au/image/proxyImage?imageId=a5db2d25-26e4-4b49-a224-2ceaa6ddbdd8,"Globodera rostochiensis, commonly known as the golden nematode, golden eelworm or yellow potato cyst nematode, is a plant pathogenic nematode. It is a pest of plants in the family Solanaceae, primarily infesting potatoes and tomatoes, as well as a variety of other root crops."
Zagrammosoma latilineatum,https://biodiversity.org.au/afd/taxa/efb91166-68d4-499f-bae4-287d86eb2f11,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Zagrammosoma,Parasitoid Wasp,8,,,,,https://images.ala.org.au/image/proxyImage?imageId=bcac4673-76f2-4888-bc41-d0879d0798df,
Trichoglossus chlorolepidotus,https://biodiversity.org.au/afd/taxa/ecaca7ec-da2e-4c6b-b190-14e7a1738884,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Trichoglossus,Scaly-breasted Lorikeet,3238,,,,,https://images.ala.org.au/image/proxyImage?imageId=8bac9782-0f7a-4045-bc4c-fa2bc449496c,"The scaly-breasted lorikeet is an Australian lorikeet found in woodland in eastern Australia. The common name aptly describes this bird, which has yellow breast feathers broadly edged with green that look like scales."
Cladius brullei,https://biodiversity.org.au/afd/taxa/6c15464a-6e8d-4f79-ae3a-36ca2d7c07b8,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Cladius,,4,,,,,https://images.ala.org.au/image/proxyImage?imageId=b5fb12c8-8c2d-40ba-9ee9-bfa50fd0c926,
Otiorhynchus sulcatus,https://biodiversity.org.au/afd/taxa/4a6570f1-6e92-4063-9bbb-3e28c0767df4,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,European Strawberry Weevil,8,,,,,https://images.ala.org.au/image/proxyImage?imageId=d2738645-1ac6-41a7-af8c-1b1c7765456d,The black vine weevil is an insect native to Europe but common in North America as well. It is a pest of many garden plants.
Ribautiana ulmi,https://biodiversity.org.au/afd/taxa/f7cac715-724a-4a29-a264-36dc587a4c7e,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Ribautiana,Leafhopper,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=bd7ebe37-e992-4823-a886-6f85f04c7064,
Poecilometis strigatus,https://biodiversity.org.au/afd/taxa/ca5ef730-ca5b-412e-9f2d-aa7e59106012,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Poecilometis,Gum Tree Shield Bug,779,,,,,https://images.ala.org.au/image/proxyImage?imageId=8a312d66-4b82-4d9c-9b7a-42da8e55e0b4,
Acrophylla titan,https://biodiversity.org.au/afd/taxa/b6416791-c3f6-4d11-905f-6a6959d57128,Animalia,Arthropoda,Insecta,Phasmida,Phasmatidae,Acrophylla,Titan Stick-insect,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=4591ddc0-f244-4a12-9c55-78a41ab9e1af,"Acrophylla titan, the titan stick insect, is the third-longest stick insect found in Australia. First described by William Sharp Macleay in 1826, it was considered to be the longest stick insect in the world until the discovery of Ctenomorpha gargantua."
Antechinus swainsonii,https://biodiversity.org.au/afd/taxa/fa176daf-6dc7-4a15-ac1b-c50cd2e51839,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Dusky Antechinus,30,,,,,https://images.ala.org.au/image/proxyImage?imageId=ec13c218-5535-40a4-999e-b52ad067d163,"The dusky antechinus, also known as Swainson's antechinus or the dusky marsupial mouse, is a species of small marsupial carnivore, a member of the family Dasyuridae. It is found in Australia."
