id,name,address,lat,lng
316,Cultivating Community,"Lennox Street, Richmond, City of Yarra, Victoria, 3121, Australia",-37.8176694,144.9947042
309,Port Phillip Eco Centre Community Garden,"Blessington Street, St Kilda, City of Port Phillip, Victoria, 3182, Australia",-37.8699842,144.9817225
310,Brentwood Secondary College Learning Garden,"Watsons Road, Glen Waverley, Melbourne, City of Monash, Victoria, 3150, Australia",-37.8969102,145.1690355
311,Broadford Community Garden,"High Street Service Road, Broadford, Shire of Mitchell, Victoria, 3658, Australia",-37.4119623,144.9791962
312,Coasthaven Community Garden,"Robin Avenue, Norlane West, Norlane, Victoria, 3214, Australia",-38.0869278,144.3470091
313,Vines Road Community Garden,"Vines Road, Hamlyn Heights, Victoria, 3215, Australia",-38.121055,144.3282177
314,Waurn Ponds Community Garden,"Waurnvale Drive, Belmont, Victoria, 3216, Australia",-38.1941386,144.3248091
316,Cultivating Community,"Lennox Street, Richmond, City of Yarra, Victoria, 3121, Australia",-37.8176694,144.9947042
321,Northcote Public Library Community Garden,"Separation Street, Ruckers Hill, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.780236,144.9964901
322,PICAL Cowes Community Garden,"Church Street, Cowes, Bass Coast Shire, Victoria, 3922, Australia",-38.4523063,145.225027
325,Mackie Road Neighbourhood House Community Garden,"Mackie Road, Mulgrave, Melbourne, City of Monash, Victoria, 3170, Australia",-37.9259393,145.1614879
326,Manifold Heights Community Garden,"Manifold Street, Manifold Heights, Victoria, 3218, Australia",-38.1366928,144.3346276
321,Northcote Public Library Community Garden,"Separation Street, Ruckers Hill, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",-37.780236,144.9964901
322,PICAL Cowes Community Garden,"Church Street, Cowes, Bass Coast Shire, Victoria, 3922, Australia",-38.4523063,145.225027
325,Mackie Road Neighbourhood House Community Garden,"Mackie Road, Mulgrave, Melbourne, City of Monash, Victoria, 3170, Australia",-37.9259393,145.1614879
326,Manifold Heights Community Garden,"Manifold Street, Manifold Heights, Victoria, 3218, Australia",-38.1366928,144.3346276
327,Grovedale Community Garden,"Heyers Road, Grovedale, Victoria, 3216, Australia",-38.2081679,144.3259874
328,Danawa Community Garden,"Spring Creek Reserve, Torquay, Surf Coast Shire, Victoria, 3228, Australia",-38.3369538,144.3151228
329,Barwon Heads Community Arts Garden,"Barwon Heads Road, Barwon Heads, Victoria, 3227, Australia",-38.2713869,144.4779314
330,Orbost Community Garden,"Lawson Lane, Orbost, Shire of East Gippsland, Victoria, 3888, Australia",-37.7071308,148.4585411
327,Grovedale Community Garden,"Heyers Road, Grovedale, Victoria, 3216, Australia",-38.2081679,144.3259874
328,Danawa Community Garden,"Spring Creek Reserve, Torquay, Surf Coast Shire, Victoria, 3228, Australia",-38.3369538,144.3151228
329,Barwon Heads Community Arts Garden,"Barwon Heads Road, Barwon Heads, Victoria, 3227, Australia",-38.2713869,144.4779314
330,Orbost Community Garden,"Lawson Lane, Orbost, Shire of East Gippsland, Victoria, 3888, Australia",-37.7071308,148.4585411
348,Sunbury Community Garden,"Highgrove Drive, Goonawarra, Sunbury, Melbourne, City of Hume, Victoria, 3429, Australia",-37.5664463,144.7586409
349,Lalor Community Garden,"Duncan Road, Lalor, Melbourne, City of Whittlesea, Victoria, 3075, Australia",-37.6666817,145.0127593
350,Gronn Place Community Garden,"Gronn Place, Brunswick West, Melbourne, City of Moreland, Victoria, 3055, Australia",-37.7569013,144.9394627
351,Grinter Community Garden,"Grinter Reserve West, Coppards Road, Moolap, Victoria, 3219, Australia",-38.1787313,144.4034418
348,Sunbury Community Garden,"Highgrove Drive, Goonawarra, Sunbury, Melbourne, City of Hume, Victoria, 3429, Australia",-37.5664463,144.7586409
349,Lalor Community Garden,"Duncan Road, Lalor, Melbourne, City of Whittlesea, Victoria, 3075, Australia",-37.6666817,145.0127593
350,Gronn Place Community Garden,"Gronn Place, Brunswick West, Melbourne, City of Moreland, Victoria, 3055, Australia",-37.7569013,144.9394627
351,Grinter Community Garden,"Grinter Reserve West, Coppards Road, Moolap, Victoria, 3219, Australia",-38.1787313,144.4034418
357,Community Kitchen Garden,"Templeton Street, Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia",-37.0633862,144.2182211
358,Groundswell Community Garden,"Bentley Place, Frankston, Frankston South, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1544125,145.1218067
